genus,metabolism,light,replicate,run,time,seconds,oxygen_mM,carbondioxide_mM,c12_mM,c13_mM,salinity_ppt,temperature_c,ph,comments,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:27:00,84,7.32,2285.64,2225.19,60.45,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:27:14,98,7.24,2304.26,2244.00,60.25,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:27:28,112,7.50,2319.45,2258.87,60.58,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:27:42,125,7.45,2324.88,2264.21,60.67,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:27:55,138,7.55,2310.41,2249.75,60.66,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:28:09,152,7.60,2286.80,2225.89,60.91,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:28:22,165,7.16,2299.10,2238.67,60.43,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:28:36,180,7.31,2277.31,2216.91,60.40,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:28:49,193,7.16,2286.97,2226.59,60.38,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:29:02,206,7.16,2301.68,2241.47,60.20,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:29:16,220,6.95,2295.14,2235.01,60.13,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:29:29,233,7.49,2306.27,2245.68,60.59,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:29:43,247,7.25,2296.52,2236.14,60.38,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:29:56,260,7.36,2304.73,2244.28,60.45,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:30:09,273,7.17,2306.93,2246.38,60.56,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:30:23,287,7.59,2315.82,2255.37,60.45,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:30:37,302,7.55,2313.16,2252.70,60.46,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:30:50,315,7.50,2319.43,2259.01,60.41,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:31:04,329,7.41,2306.73,2246.38,60.36,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:31:18,342,7.30,2290.45,2230.10,60.34,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:31:31,355,7.25,2289.54,2229.25,60.28,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:31:44,369,7.46,2291.67,2231.36,60.30,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:31:58,383,7.48,2309.92,2249.54,60.39,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:32:11,397,7.48,2302.40,2241.75,60.65,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:32:24,411,7.44,2301.16,2240.76,60.40,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:32:38,423,7.23,2296.33,2236.14,60.20,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:32:52,436,7.03,2281.96,2222.10,59.86,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:33:06,450,7.47,2303.85,2243.43,60.42,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:33:19,464,7.41,2296.90,2236.42,60.48,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:33:33,478,7.31,2285.58,2225.47,60.11,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_i,11:33:46,492,7.11,2291.11,2231.08,60.02,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:43:51,138,9.89,21.24,20.64,0.60,31,12,7.66,Opuntiella High R1,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:44:04,152,9.78,21.25,20.64,0.61,31,12,7.66,Opuntiella High R1,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:44:18,165,10.07,21.09,20.50,0.59,31,12,7.66,Opuntiella High R1,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:44:31,178,9.85,21.29,20.70,0.59,31,12,7.66,Opuntiella High R1,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:44:44,191,9.62,21.51,20.94,0.57,31,12,7.66,Opuntiella High R1,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:44:57,205,9.43,21.23,20.64,0.59,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:45:11,219,9.60,21.66,21.08,0.58,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:45:25,232,9.60,21.62,21.01,0.61,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:45:38,246,9.87,21.73,21.12,0.61,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:45:52,259,9.34,21.52,20.96,0.56,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:46:05,273,9.16,21.53,20.90,0.63,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:46:19,287,9.65,21.93,21.33,0.60,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:46:33,301,9.18,21.81,21.18,0.64,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:46:47,315,9.50,22.12,21.50,0.62,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:47:01,329,9.55,21.88,21.24,0.64,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:47:15,343,8.96,22.08,21.47,0.61,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:47:29,357,9.32,22.02,21.39,0.62,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:47:43,371,9.25,22.19,21.58,0.62,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:47:57,384,9.28,22.36,21.73,0.63,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:48:10,398,9.32,22.31,21.74,0.57,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:48:24,411,9.05,22.21,21.60,0.61,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:48:37,425,9.08,22.32,21.75,0.57,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:48:51,439,9.39,22.80,22.18,0.62,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:49:05,452,9.46,22.61,21.96,0.65,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:49:18,466,9.25,22.90,22.23,0.67,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:49:32,480,9.12,22.68,22.05,0.63,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:49:46,493,8.78,22.91,22.28,0.63,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:49:59,507,9.12,22.81,22.15,0.66,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:50:13,521,8.93,22.67,22.04,0.63,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:50:27,535,8.86,22.99,22.32,0.67,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:50:41,549,8.95,22.86,22.22,0.64,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:50:55,563,8.91,23.11,22.49,0.63,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:51:09,576,8.91,23.47,22.87,0.60,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:51:22,590,8.75,23.01,22.45,0.57,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:51:36,604,8.58,23.10,22.43,0.67,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:51:50,617,8.28,23.33,22.74,0.60,31,12,7.65,D1 END NOW,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark1,11:52:03,630,8.79,23.70,23.04,0.66,31,12,7.65,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:55:28,193,9.97,21.41,20.83,0.57,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:55:42,206,10.15,21.18,20.59,0.59,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:55:55,220,10.73,21.18,20.56,0.63,31,12,7.66,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:56:09,234,10.48,20.71,20.13,0.58,31,12,7.67,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:56:23,248,10.53,20.65,20.10,0.56,31,12,7.67,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:56:37,262,11.00,20.44,19.87,0.56,31,12,7.68,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:56:51,276,10.88,19.86,19.29,0.56,31,12,7.68,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:57:05,290,10.68,20.06,19.52,0.54,31,12,7.69,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:57:19,304,11.16,20.00,19.47,0.53,31,12,7.69,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:57:33,317,11.60,19.55,19.01,0.54,31,12,7.69,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:57:46,331,11.38,19.47,18.92,0.55,31,12,7.69,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:58:00,345,11.25,19.11,18.57,0.54,31,12,7.69,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:58:14,359,11.05,19.12,18.55,0.56,31,12,7.7,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:58:28,372,11.20,18.82,18.27,0.55,31,12,7.7,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:58:41,386,11.92,18.51,18.01,0.50,31,12,7.7,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:58:55,400,11.41,18.43,17.90,0.53,31,12,7.71,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:59:09,413,11.84,18.30,17.76,0.54,31,12,7.71,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:59:22,427,12.50,18.32,17.79,0.53,31,12,7.71,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:59:36,440,11.94,17.85,17.33,0.52,31,12,7.71,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,11:59:49,454,12.16,17.74,17.24,0.50,31,12,7.71,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:00:03,467,12.37,17.65,17.16,0.50,31,12,7.72,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:00:16,481,12.59,17.30,16.83,0.47,31,12,7.72,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:00:30,494,11.86,17.16,16.69,0.47,31,12,7.72,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:00:43,508,12.72,17.22,16.75,0.48,31,12,7.73,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:00:57,522,12.50,16.99,16.53,0.46,31,12,7.73,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:01:11,536,12.81,16.89,16.42,0.47,31,12,7.73,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:01:25,549,12.50,16.57,16.09,0.48,31,12,7.74,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:01:38,563,12.68,16.40,15.94,0.46,31,12,7.74,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:01:52,576,12.98,16.34,15.90,0.45,31,12,7.74,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:02:05,589,12.73,16.06,15.62,0.44,31,12,7.74,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:02:18,603,13.12,15.90,15.46,0.45,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Light,12:02:32,616,12.86,15.82,15.37,0.45,31,12,7.75,L1 END NOW,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:06:25,193,11.42,15.24,14.84,0.40,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:06:39,207,11.49,15.55,15.11,0.44,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:06:53,220,11.22,15.46,15.06,0.39,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:07:06,234,11.09,15.34,14.94,0.40,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:07:20,248,11.55,15.59,15.15,0.43,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:07:34,261,11.42,15.56,15.11,0.44,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:07:47,275,11.22,15.68,15.22,0.46,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:08:01,288,11.31,15.92,15.48,0.44,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:08:14,302,11.61,15.95,15.50,0.45,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:08:28,315,11.56,15.99,15.55,0.45,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:08:41,329,11.64,16.12,15.68,0.43,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:08:55,342,11.92,16.20,15.73,0.47,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:09:08,356,11.81,16.34,15.91,0.43,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:09:22,370,11.88,16.52,16.05,0.47,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:09:36,384,12.08,16.48,16.03,0.46,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:09:50,398,12.32,16.50,16.06,0.44,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:10:04,411,11.66,16.19,15.74,0.45,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:10:17,426,11.56,16.61,16.17,0.44,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:10:32,439,11.79,16.67,16.22,0.45,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:10:45,453,12.01,16.75,16.27,0.48,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:10:59,467,11.71,16.83,16.36,0.47,31,12,7.76,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:11:13,481,11.69,16.84,16.38,0.46,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:11:27,495,11.61,17.17,16.70,0.47,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:11:41,509,11.39,17.12,16.62,0.50,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:11:55,522,11.44,16.87,16.42,0.46,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:12:08,536,10.72,16.82,16.35,0.47,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:12:22,550,10.86,16.77,16.29,0.49,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:12:36,564,10.74,16.97,16.48,0.49,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:12:50,577,10.96,17.23,16.73,0.50,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:13:03,592,11.21,17.00,16.51,0.49,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:13:18,605,11.13,17.15,16.68,0.46,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:13:31,619,10.75,17.30,16.78,0.52,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,Dark2,12:13:45,632,11.18,17.36,16.88,0.48,31,12,7.75,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:16:31,798,7.51,2218.78,2204.42,14.35,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:16:44,812,7.56,2256.95,2196.84,60.11,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:16:58,826,7.35,2281.51,2221.68,59.83,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:17:12,840,7.35,2270.08,2209.88,60.20,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:17:26,854,7.45,2271.62,2211.15,60.47,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:17:40,868,7.69,2276.91,2216.49,60.42,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:17:54,881,7.51,2285.05,2224.63,60.42,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:18:07,894,7.73,2286.35,2225.89,60.46,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:18:20,908,7.94,2283.92,2223.22,60.70,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:18:34,921,7.40,2264.41,2204.27,60.14,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:18:47,934,7.56,2268.65,2207.93,60.72,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:19:00,948,7.09,2239.42,2179.72,59.70,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:19:14,962,7.11,2251.48,2191.50,59.98,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:19:28,975,7.05,2273.58,2213.68,59.90,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:19:41,988,7.31,2252.54,2192.20,60.34,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:19:54,1002,7.43,2260.64,2200.34,60.29,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:20:08,1015,7.46,2271.54,2211.29,60.25,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:20:21,1029,7.23,2273.18,2213.12,60.06,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:20:35,1042,7.64,2267.02,2206.66,60.36,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:20:48,1056,7.48,2276.02,2215.79,60.23,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:21:02,1069,7.48,2263.45,2203.29,60.16,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:21:15,1083,7.39,2261.17,2201.32,59.85,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:21:29,1096,7.25,2261.79,2201.89,59.89,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:21:42,1109,7.34,2259.11,2199.23,59.88,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:21:55,1122,7.51,2281.06,2220.97,60.09,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:22:08,1136,7.35,2263.51,2203.43,60.07,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:22:22,1150,7.49,2269.88,2209.74,60.13,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:22:36,1164,7.20,2271.08,2211.15,59.92,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:22:50,1177,7.36,2261.94,2201.89,60.04,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:23:03,1190,7.09,2250.39,2190.53,59.86,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:23:16,1204,7.35,2259.41,2199.37,60.04,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:23:30,1216,7.04,2267.58,2207.65,59.93,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:23:42,1229,7.10,2247.96,2188.14,59.82,31,12,4.10,,,,,,,,,,,,,
Opuntiella,ccm,High,1,DIC_f,12:23:55,1242,7.17,2243.38,2183.64,59.74,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:32:23,1750,6.14,2223.12,2164.13,58.99,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:32:36,1764,6.35,2210.76,2150.94,59.82,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:32:50,1777,6.97,2235.76,2175.64,60.12,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:33:03,1791,6.99,2238.18,2178.17,60.01,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:33:17,1805,7.34,2234.09,2173.96,60.13,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:33:31,1819,7.48,2248.74,2188.42,60.33,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:33:45,1832,7.22,2228.25,2168.21,60.04,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:33:58,1845,7.45,2231.74,2171.58,60.16,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:34:11,1858,7.15,2227.58,2167.78,59.81,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:34:24,1871,7.54,2246.52,2186.45,60.08,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:34:37,1884,7.51,2247.08,2187.15,59.93,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:34:50,1898,7.65,2224.50,2164.41,60.09,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:35:04,1910,7.59,2250.41,2190.39,60.03,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:35:16,1924,7.57,2222.99,2163.29,59.69,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:35:30,1938,7.74,2231.72,2171.86,59.86,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:35:44,1951,7.77,2223.91,2164.13,59.78,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:35:57,1965,7.35,2223.05,2163.43,59.61,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:36:11,1979,7.42,2234.77,2175.36,59.41,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:36:25,1992,7.46,2241.07,2181.53,59.53,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:36:38,2006,7.48,2235.03,2175.64,59.39,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:36:52,2019,7.41,2222.19,2162.88,59.31,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:37:05,2032,7.59,2229.06,2169.47,59.59,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:37:18,2044,7.68,2240.87,2181.25,59.62,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:37:30,2058,7.50,2232.92,2173.54,59.38,31,12,4.10,,,,,,,,,,,,,
Plocamium,ccm,Low,1,DIC_i,12:37:44,2072,7.60,2214.86,2155.29,59.56,31,12,4.10,iDIC end,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:49:57,383,8.81,20.28,19.72,0.57,31,12,7.72,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:50:11,397,8.52,20.42,19.84,0.58,31,12,7.72,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:50:25,411,8.73,20.33,19.70,0.63,31,12,7.72,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:50:39,423,8.67,20.39,19.81,0.57,31,12,7.72,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:50:51,436,9.04,20.07,19.49,0.58,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:51:04,450,8.31,20.52,19.97,0.55,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:51:18,463,8.17,20.26,19.68,0.58,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:51:31,477,8.66,20.19,19.59,0.60,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:51:45,491,8.48,20.14,19.60,0.54,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:51:59,505,8.93,20.35,19.78,0.57,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:52:13,518,8.62,20.55,19.98,0.57,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:52:26,532,8.67,20.29,19.73,0.56,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:52:40,545,8.86,20.41,19.84,0.57,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:52:53,559,9.26,20.62,20.04,0.58,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:53:07,572,8.46,20.36,19.79,0.57,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:53:20,585,8.54,20.60,20.00,0.60,31,12,7.73,,,,,,,,,,,,,
Plocamium,ccm,Low,1,Dark1,12:53:33,599,8.29,20.80,20.21,0.58,31,12,7.73,,,,,,,,,,,,,
